Redshift,Comoving distance (Mpc),Luminosity distance (Mpc),Angular-diameter distance (Mpc),Proper distance (Mpc)
4.75,7908.717,45475.121,1375.429,3856.581
4.76,7914.644,45588.349,1374.07,3857.611
4.77,7920.556,45701.607,1372.713,3858.636
4.78,7926.453,45814.896,1371.359,3859.658
4.79,7932.334,45928.215,1370.006,3860.674
4.8,7938.201,46041.565,1368.655,3861.687
4.81,7944.053,46154.945,1367.307,3862.695
4.82,7949.889,46268.356,1365.96,3863.698
4.83,7955.711,46381.797,1364.616,3864.698
4.84,7961.519,46495.268,1363.274,3865.693
4.85,7967.311,46608.77,1361.934,3866.684
4.86,7973.089,46722.301,1360.595,3867.671
4.87,7978.852,46835.863,1359.259,3868.654
4.88,7984.601,46949.454,1357.925,3869.632
4.89,7990.335,47063.075,1356.593,3870.607
4.9,7996.055,47176.725,1355.264,3871.577
4.91,8001.761,47290.406,1353.936,3872.543
4.92,8007.452,47404.115,1352.61,3873.505
4.93,8013.129,47517.855,1351.287,3874.463
4.94,8018.792,47631.623,1349.965,3875.418
4.95,8024.441,47745.421,1348.645,3876.368
4.96,8030.075,47859.249,1347.328,3877.314
4.97,8035.696,47973.105,1346.013,3878.256
4.98,8041.303,48086.99,1344.699,3879.195
4.99,8046.896,48200.905,1343.388,3880.129
5,8052.475,48314.848,1342.079,3881.06
5.01,8058.04,48428.82,1340.772,3881.986
5.02,8063.592,48542.821,1339.467,3882.909
5.03,8069.13,48656.851,1338.164,3883.829
5.04,8074.654,48770.909,1336.863,3884.744
5.05,8080.165,48884.996,1335.564,3885.656
5.06,8085.662,48999.111,1334.268,3886.563
5.07,8091.146,49113.255,1332.973,3887.468
5.08,8096.616,49227.427,1331.68,3888.368
5.09,8102.073,49341.627,1330.39,3889.265
5.1,8107.517,49455.856,1329.101,3890.158
5.11,8112.948,49570.112,1327.815,3891.048
5.12,8118.365,49684.396,1326.53,3891.934
5.13,8123.77,49798.709,1325.248,3892.816
5.14,8129.161,49913.049,1323.968,3893.695
5.15,8134.539,50027.417,1322.689,3894.57
5.16,8139.905,50141.813,1321.413,3895.442
5.17,8145.257,50256.237,1320.139,3896.31
5.18,8150.597,50370.688,1318.867,3897.175
5.19,8155.923,50485.166,1317.597,3898.036
5.2,8161.237,50599.672,1316.329,3898.894
5.21,8166.539,50714.206,1315.063,3899.748
5.22,8171.827,50828.767,1313.799,3900.599
5.23,8177.103,50943.355,1312.537,3901.446
5.24,8182.367,51057.97,1311.277,3902.291
5.25,8187.618,51172.612,1310.019,3903.131
5.26,8192.856,51287.281,1308.763,3903.969
5.27,8198.083,51401.978,1307.509,3904.803
5.28,8203.296,51516.701,1306.257,3905.634
5.29,8208.498,51631.451,1305.008,3906.462
5.3,8213.687,51746.227,1303.76,3907.286
5.31,8218.864,51861.031,1302.514,3908.107
5.32,8224.029,51975.861,1301.27,3908.925
